school,city,stateProvince,country,schoolcitystate,lon,lat
Boca Ciega,Saint Petersburg,FL,USA,"Boca Ciega, Saint Petersburg, FL",-82.7503169,27.7453404
Boca Raton,Boca Raton,FL,USA,"Boca Raton, Boca Raton, FL",-80.1289321,26.3683064
Boca Raton Christian,Boca Raton,FL,USA,"Boca Raton Christian, Boca Raton, FL",-80.0931282,26.3542252
Booker,Sarasota,FL,USA,"Booker, Sarasota, FL",-82.5385438,27.3648357
Booker T. Washington,Homestead,FL,USA,"Booker T. Washington, Homestead, FL",-80.2051169,25.786166
Booker T. Washington,Miami,FL,USA,"Booker T. Washington, Miami, FL",-80.2051169,25.786166
Booker T. Washington,Pensacola,FL,USA,"Booker T. Washington, Pensacola, FL",-87.2118424,30.4841996
Boone,Orlando,FL,USA,"Boone, Orlando, FL",-81.3654628,28.519204
Boyd Anderson,Fort Lauderdale,FL,USA,"Boyd Anderson, Fort Lauderdale, FL",-80.1857273,26.1779463
Boynton Beach Community,Boynton Beach,FL,USA,"Boynton Beach Community, Boynton Beach, FL",-80.0905465,26.5317866
Boynton Beach Community,Lake Worth,FL,USA,"Boynton Beach Community, Lake Worth, FL",-80.0684479,26.6167555
Bozeman School,Panama City,FL,USA,"Bozeman School, Panama City, FL",-85.6865783,30.3938872
Braden River,Bradenton,FL,USA,"Braden River, Bradenton, FL",-82.5748194,27.4989278
Bradenton Preparatory Academy,Bradenton,FL,USA,"Bradenton Preparatory Academy, Bradenton, FL",-82.6046336,27.4721635
Bradford,Starke,FL,USA,"Bradford, Starke, FL",-82.1098275,29.9441298
Brandon,Brandon,FL,USA,"Brandon, Brandon, FL",-82.2859247,27.937801
Calvary Christian,Clearwater,FL,USA,"Calvary Christian, Clearwater, FL",-82.7112025,27.9664212
Calvary Christian Academy,Fort Lauderdale,FL,USA,"Calvary Christian Academy, Fort Lauderdale, FL",-80.1752303,26.2041338
Cambridge Christian School,Tampa,FL,USA,"Cambridge Christian School, Tampa, FL",-82.487638,28.002613
Cape Coral,Cape Coral,FL,USA,"Cape Coral, Cape Coral, FL",-81.9495331,26.5628537
Cape Coral,Fort Myers,FL,USA,"Cape Coral, Fort Myers, FL",-81.8723084,26.640628
Cardinal Gibbons,Fort Lauderdale,FL,USA,"Cardinal Gibbons, Fort Lauderdale, FL",-80.1081859,26.1856607
Cardinal Mooney,Sarasota,FL,USA,"Cardinal Mooney, Sarasota, FL",-82.486296,27.3388844
Cardinal Newman,West Palm Beach,FL,USA,"Cardinal Newman, West Palm Beach, FL",-80.0919032,26.7108225
Carrollwood Day,Tampa,FL,USA,"Carrollwood Day, Tampa, FL",-82.4743836,28.0910293
Cascade,Chiefland,FL,USA,"Cascade, Chiefland, FL",-82.8598421,29.4749621
Celebration,Kissimmee,FL,USA,"Celebration, Kissimmee, FL",-81.5407793,28.3188815
Central,Brooksville,FL,USA,"Central, Brooksville, FL",-82.494903,28.5640466
Chamberlain,Tampa,FL,USA,"Chamberlain, Tampa, FL",-82.4670131,28.0346231
Chaminade-Madonna Prep,Fort Lauderdale,FL,USA,"Chaminade-Madonna Prep, Fort Lauderdale, FL",-80.1958194,26.0150846
Chaminade-Madonna Prep,Hollywood,FL,USA,"Chaminade-Madonna Prep, Hollywood, FL",-80.1958194,26.0150846
Champagnat Catholic - Hialeah,Hialeah,FL,USA,"Champagnat Catholic - Hialeah, Hialeah, FL",-80.2815584,25.8384598
Champagnat Catholic - Hialeah,Miami,FL,USA,"Champagnat Catholic - Hialeah, Miami, FL",-80.2815584,25.8384598
Champagnat Catholic - Hialeah,Palm Bay,FL,USA,"Champagnat Catholic - Hialeah, Palm Bay, FL",-80.2815584,25.8384598
Champagnat Catholic - Miami,Miami,FL,USA,"Champagnat Catholic - Miami, Miami, FL",-80.2815584,25.8384598
Charles W Flanagan,Fort Lauderdale,FL,USA,"Charles W Flanagan, Fort Lauderdale, FL",-80.3226757,26.0206649
Charles W Flanagan,Hollywood,FL,USA,"Charles W Flanagan, Hollywood, FL",-80.3226757,26.0206649
Charles W Flanagan,Miami,FL,USA,"Charles W Flanagan, Miami, FL",-80.3226757,26.0206649
Charles W Flanagan,Pembroke Pines,FL,USA,"Charles W Flanagan, Pembroke Pines, FL",-80.3226757,26.0206649
Charles W Flanagan,Pompano Beach,FL,USA,"Charles W Flanagan, Pompano Beach, FL",-80.3226757,26.0206649
Charlotte,Punta Gorda,FL,USA,"Charlotte, Punta Gorda, FL",-82.0453664,26.9297836
Chiefland,Chiefland,FL,USA,"Chiefland, Chiefland, FL",-82.8598421,29.4749621
Chipley,Chipley,FL,USA,"Chipley, Chipley, FL",-85.538541,30.7818584
Choctawhatchee Senior,Fort Walton Beach,FL,USA,"Choctawhatchee Senior, Fort Walton Beach, FL",-86.61849,30.4501721
Christopher Columbus HS,Miami,FL,USA,"Christopher Columbus HS, Miami, FL",-80.338617,25.741643
Citrus,Crystal River,FL,USA,"Citrus, Crystal River, FL",-82.5926012,28.902479
Citrus,Inverness,FL,USA,"Citrus, Inverness, FL",-82.3313955,28.8354507
Clay,Green Cove Springs,FL,USA,"Clay, Green Cove Springs, FL",-81.6781467,29.9919085
Clearwater,Clearwater,FL,USA,"Clearwater, Clearwater, FL",-82.8001026,27.9658533
Clearwater Academy International,Clearwater,FL,USA,"Clearwater Academy International, Clearwater, FL",-82.7955034,27.9678526
Clearwater Central Catholic,Clearwater,FL,USA,"Clearwater Central Catholic, Clearwater, FL",-82.72325,27.929602
Clewiston,Clewiston,FL,USA,"Clewiston, Clewiston, FL",-80.9336753,26.7542312
Cocoa,Cocoa,FL,USA,"Cocoa, Cocoa, FL",-80.7419984,28.3861159
Cocoa,Titusville,FL,USA,"Cocoa, Titusville, FL",-80.7419984,28.3861159
Coconut Creek,Fort Lauderdale,FL,USA,"Coconut Creek, Fort Lauderdale, FL",-80.1789351,26.2517482
Coconut Creek,Pompano Beach,FL,USA,"Coconut Creek, Pompano Beach, FL",-80.1789351,26.2517482
Colonial,Orlando,FL,USA,"Colonial, Orlando, FL",-81.4445897,28.5524243
Columbia,Lake City,FL,USA,"Columbia, Lake City, FL",-82.6355651,30.1479153
Columbus,Miami,FL,USA,"Columbus, Miami, FL",-80.338617,25.741643
Cooper City,Fort Lauderdale,FL,USA,"Cooper City, Fort Lauderdale, FL",-80.271716,26.0573112
Coral Gables Senior,Miami,FL,USA,"Coral Gables Senior, Miami, FL",-80.263209,25.7337719
Coral Glades,Pompano Beach,FL,USA,"Coral Glades, Pompano Beach, FL",-80.2948232,26.2634764
Coral Reef,Miami,FL,USA,"Coral Reef, Miami, FL",-80.2309482,25.7323908
Coral Springs,Pompano Beach,FL,USA,"Coral Springs, Pompano Beach, FL",-80.2706044,26.271192
Coral Springs Charter,Pompano Beach,FL,USA,"Coral Springs Charter, Pompano Beach, FL",-80.2483369,26.2707565
Cottondale,Cottondale,FL,USA,"Cottondale, Cottondale, FL",-85.3765965,30.7971363
Countryside,Clearwater,FL,USA,"Countryside, Clearwater, FL",-82.7263326,28.0278179
Creekside,Saint Augustine,FL,USA,"Creekside, Saint Augustine, FL",-81.32136,29.8717322
Crescent City,Crescent City,FL,USA,"Crescent City, Crescent City, FL",-81.5106288,29.4302514
Crestview,Crestview,FL,USA,"Crestview, Crestview, FL",-86.5727995,30.7541808
Crystal River,Crystal River,FL,USA,"Crystal River, Crystal River, FL",-82.5926012,28.902479
Cypress Bay,Fort Lauderdale,FL,USA,"Cypress Bay, Fort Lauderdale, FL",-80.3971639,26.0657889
Cypress Creek Senior,Orlando,FL,USA,"Cypress Creek Senior, Orlando, FL",-81.3798095,28.3811292
Cypress Lake,Fort Myers,FL,USA,"Cypress Lake, Fort Myers, FL",-81.898171,26.54581
Dade Christian School,Hialeah,FL,USA,"Dade Christian School, Hialeah, FL",-80.3061787,25.9263163
Deerfield Beach,Boynton Beach,FL,USA,"Deerfield Beach, Boynton Beach, FL",-80.0997657,26.3184123
Deerfield Beach,Deerfield Beach,FL,USA,"Deerfield Beach, Deerfield Beach, FL",-80.0997657,26.3184123
Deerfield Beach,Delray Beach,FL,USA,"Deerfield Beach, Delray Beach, FL",-80.0674116,26.4661284
Deerfield Beach,Fort Lauderdale,FL,USA,"Deerfield Beach, Fort Lauderdale, FL",-80.0997657,26.3184123
Deerfield Beach,Hollywood,FL,USA,"Deerfield Beach, Hollywood, FL",-80.1222133,26.3168109
Deerfield Beach,Pompano Beach,FL,USA,"Deerfield Beach, Pompano Beach, FL",-80.0997657,26.3184123
Deland,Deland,FL,USA,"Deland, Deland, FL",-81.3031179,29.028318
Deltona,Deltona,FL,USA,"Deltona, Deltona, FL",-81.2636738,28.9005446
DeSoto County,Arcadia,FL,USA,"DeSoto County, Arcadia, FL",-81.8584164,27.2158826
Dillard,Fort Lauderdale,FL,USA,"Dillard, Fort Lauderdale, FL",-80.1124113,26.1363962
Dillard,Hollywood,FL,USA,"Dillard, Hollywood, FL",-80.305924,26.011306
Dixie County,Cross City,FL,USA,"Dixie County, Cross City, FL",-83.1232578,29.6337184
Dixie M. Hollins,Saint Petersburg,FL,USA,"Dixie M. Hollins, Saint Petersburg, FL",-82.7223221,27.8154657
Doral Academy Charter,Miami,FL,USA,"Doral Academy Charter, Miami, FL",-80.3539278,25.7950484
Dr Michael M. Krop,Miami,FL,USA,"Dr Michael M. Krop, Miami, FL",-80.1733968,25.971516
Dr. Phillips,Apopka,FL,USA,"Dr. Phillips, Apopka, FL",-81.4923474,28.456916
Dr. Phillips,Groveland,FL,USA,"Dr. Phillips, Groveland, FL",-81.4923474,28.456916
Dr. Phillips,Orlando,FL,USA,"Dr. Phillips, Orlando, FL",-81.4922945,28.4494501
Dr. Phillips,Winter Springs,FL,USA,"Dr. Phillips, Winter Springs, FL",-81.3689254,28.6656731
Dunbar,Cape Coral,FL,USA,"Dunbar, Cape Coral, FL",-81.9432443,26.5743121
Dunbar,Fort Myers,FL,USA,"Dunbar, Fort Myers, FL",-81.8429276,26.6347651
Duncan U. Fletcher,Jacksonville,FL,USA,"Duncan U. Fletcher, Jacksonville, FL",-81.4024837,30.3090627
Duncan U. Fletcher,Neptune Beach,FL,USA,"Duncan U. Fletcher, Neptune Beach, FL",-81.4024837,30.3090627
Dunedin,Dunedin,FL,USA,"Dunedin, Dunedin, FL",-82.7717684,28.0197404
Dunedin Academy Prep School,Dunedin,FL,USA,"Dunedin Academy Prep School, Dunedin, FL",-82.76425,28.0240409
Dunnellon,Dunnellon,FL,USA,"Dunnellon, Dunnellon, FL",-82.4609331,29.0491426
Durant,Plant City,FL,USA,"Durant, Plant City, FL",-82.172559,27.888596
Dwyer,Lake Worth,FL,USA,"Dwyer, Lake Worth, FL",-80.106357,26.876959
Dwyer,Palm Beach Gardens,FL,USA,"Dwyer, Palm Beach Gardens, FL",-80.106357,26.876959
Dwyer,West Palm Beach,FL,USA,"Dwyer, West Palm Beach, FL",-80.106357,26.876959
East Bay,Gibsonton,FL,USA,"East Bay, Gibsonton, FL",-82.3528117,27.8350921
East Bay,TAMPA,FL,USA,"East Bay, TAMPA, FL",-82.3882019,27.8840072
East Gadsden,Greenville,FL,USA,"East Gadsden, Greenville, FL",-83.6301544,30.4693739
East Gadsden,Havana,FL,USA,"East Gadsden, Havana, FL",-84.414629,30.6238069
East Gadsden,Quincy,FL,USA,"East Gadsden, Quincy, FL",-84.5948127,30.5856382
East Lake,Bradenton,FL,USA,"East Lake, Bradenton, FL",-82.543511,27.477636
East Lake,Tarpon Springs,FL,USA,"East Lake, Tarpon Springs, FL",-82.7567679,28.1461248
East Lee County,Lehigh Acres,FL,USA,"East Lee County, Lehigh Acres, FL",-81.6248026,26.6253497
East Ridge,Clermont,FL,USA,"East Ridge, Clermont, FL",-81.7148258,28.5391016
East Ridge,Leesburg,FL,USA,"East Ridge, Leesburg, FL",-81.7148258,28.5391016
East River,Orlando,FL,USA,"East River, Orlando, FL",-81.1308165,28.5548538
Eastside,Gainesville,FL,USA,"Eastside, Gainesville, FL",-82.2686495,29.6401625
Eau Gallie,Melbourne,FL,USA,"Eau Gallie, Melbourne, FL",-80.6302721,28.1291097
Ed White,Jacksonville,FL,USA,"Ed White, Jacksonville, FL",-81.7684482,30.2897077
Edgewater,Orlando,FL,USA,"Edgewater, Orlando, FL",-81.3937152,28.5860372
Edison,Miami,FL,USA,"Edison, Miami, FL",-80.2045705,25.8322747
Englewood,Jacksonville,FL,USA,"Englewood, Jacksonville, FL",-81.6172083,30.2793753
Episcopal,Jacksonville,FL,USA,"Episcopal, Jacksonville, FL",-81.62153,30.3114448
Escambia,Pensacola,FL,USA,"Escambia, Pensacola, FL",-87.2169149,30.421309
Estero,Estero,FL,USA,"Estero, Estero, FL",-81.8067523,26.438136
Eustis,Eustis,FL,USA,"Eustis, Eustis, FL",-81.6853534,28.8527675
Evangelical Christian School,Fort Myers,FL,USA,"Evangelical Christian School, Fort Myers, FL",-81.8613323,26.5745298
Evans,Orlando,FL,USA,"Evans, Orlando, FL",-81.4480983,28.5807249
Everglades,Hollywood,FL,USA,"Everglades, Hollywood, FL",-80.1246643,26.0937112
F. W. Buchholz,Gainesville,FL,USA,"F. W. Buchholz, Gainesville, FL",-82.4017946,29.6785319
Father Lopez Catholic,Daytona Beach,FL,USA,"Father Lopez Catholic, Daytona Beach, FL",-81.1216045,29.1742194
Felix Varela Senior,Miami,FL,USA,"Felix Varela Senior, Miami, FL",-80.4428419,25.6779378
Fernandina Beach,Fernandina Beach,FL,USA,"Fernandina Beach, Fernandina Beach, FL",-81.4625919,30.6696818
First Academy,Orlando,FL,USA,"First Academy, Orlando, FL",-81.4245351,28.5148322
First Baptist Academy,Naples,FL,USA,"First Baptist Academy, Naples, FL",-81.7574103,26.2313284
First Coast,Jacksonville,FL,USA,"First Coast, Jacksonville, FL",-81.655651,30.3321838
First Coast,Orange Park,FL,USA,"First Coast, Orange Park, FL",-81.706484,30.1660736
First Coast,Ponte Vedra Beach,FL,USA,"First Coast, Ponte Vedra Beach, FL",-81.3852595,30.2400058
Flagler-Palm Coast,Bunnell,FL,USA,"Flagler-Palm Coast, Bunnell, FL",-81.2088314,29.4767209
Fleming Island,Orange Park,FL,USA,"Fleming Island, Orange Park, FL",-81.7016657,30.1327673
Florida A&M University Developmental Research Scho,Tallahassee,FL,USA,"Florida A&M University Developmental Research Scho, Tallahassee, FL",-84.2860395,30.4266605
Florida Air Academy,Melbourne,FL,USA,"Florida Air Academy, Melbourne, FL",-80.6283412,28.0790513
Florida State Univ. School,Tallahassee,FL,USA,"Florida State Univ. School, Tallahassee, FL",-84.222536,30.384023
Forest,Ocala,FL,USA,"Forest, Ocala, FL",-81.79147,29.1669226
Forest Hill Community,West Palm Beach,FL,USA,"Forest Hill Community, West Palm Beach, FL",-80.0646428,26.6545426
Forrest,Jacksonville,FL,USA,"Forrest, Jacksonville, FL",-81.6634763,30.3155206
Fort Lauderdale,Fort Lauderdale,FL,USA,"Fort Lauderdale, Fort Lauderdale, FL",-80.1373174,26.1224386
Fort Meade,Fort Meade,FL,USA,"Fort Meade, Fort Meade, FL",-81.8017491,27.7522526
Fort Myers,Fort Myers,FL,USA,"Fort Myers, Fort Myers, FL",-81.8723084,26.640628
Fort Pierce Central,Fort Pierce,FL,USA,"Fort Pierce Central, Fort Pierce, FL",-80.3510434,27.391077
Fort Pierce Westwood,Fort Pierce,FL,USA,"Fort Pierce Westwood, Fort Pierce, FL",-80.3762037,27.4586667
Fort Walton Beach,Fort Walton Beach,FL,USA,"Fort Walton Beach, Fort Walton Beach, FL",-86.6170308,30.4200708
Fort White,Fort White,FL,USA,"Fort White, Fort White, FL",-82.7137327,29.9232908
Foundation Academy,Winter Garden,FL,USA,"Foundation Academy, Winter Garden, FL",-81.6161907,28.5055057
Freedom,Orlando,FL,USA,"Freedom, Orlando, FL",-81.411747,28.603482
Freedom,Tampa,FL,USA,"Freedom, Tampa, FL",-82.3834634,28.1340564
Freeport,Freeport,FL,USA,"Freeport, Freeport, FL",-86.1360517,30.4982516
Frostproof,Frostproof,FL,USA,"Frostproof, Frostproof, FL",-81.5306313,27.7458626
G. Holmes Braddock Senior,Miami,FL,USA,"G. Holmes Braddock Senior, Miami, FL",-80.4309269,25.7334862
Gainesville,Gainesville,FL,USA,"Gainesville, Gainesville, FL",-82.3248262,29.6516344
Gaither,Tampa,FL,USA,"Gaither, Tampa, FL",-82.5035175,28.100798
Gateway,Kissimmee,FL,USA,"Gateway, Kissimmee, FL",-81.3596349,28.2949506
George W. Jenkins Senior,Lakeland,FL,USA,"George W. Jenkins Senior, Lakeland, FL",-81.920785,27.9576268
Gibbs,Saint Petersburg,FL,USA,"Gibbs, Saint Petersburg, FL",-82.6775908,27.7605324
Glades Central,Belle Glade,FL,USA,"Glades Central, Belle Glade, FL",-80.6805455,26.669122
Glades Central,Lake Worth,FL,USA,"Glades Central, Lake Worth, FL",-80.6805455,26.669122
Glades Day School,Belle Glade,FL,USA,"Glades Day School, Belle Glade, FL",-80.6631489,26.6958512
Golden Gate,Naples,FL,USA,"Golden Gate, Naples, FL",-81.6950853,26.1878667
Greenville Hills Academy,Greenville,FL,USA,"Greenville Hills Academy, Greenville, FL",-83.6175904,30.4507761
Gulf,New Port Richey,FL,USA,"Gulf, New Port Richey, FL",-82.7250913,28.2388638
Gulf Breeze,Gulf Breeze,FL,USA,"Gulf Breeze, Gulf Breeze, FL",-87.1638574,30.3571438
Gulf Coast,Naples,FL,USA,"Gulf Coast, Naples, FL",-81.8008087,26.1781717
Gulliver Prep,Miami,FL,USA,"Gulliver Prep, Miami, FL",-80.299706,25.689507
Hagerty,Oviedo,FL,USA,"Hagerty, Oviedo, FL",-81.1779838,28.625119
Haines City Senior,Auburndale,FL,USA,"Haines City Senior, Auburndale, FL",-81.6082606,28.0996774
Haines City Senior,Haines City,FL,USA,"Haines City Senior, Haines City, FL",-81.632845,28.1019274
Hallandale,Hallandale,FL,USA,"Hallandale, Hallandale, FL",-80.148379,25.9812024
Hallandale,Hialeah,FL,USA,"Hallandale, Hialeah, FL",-80.148379,25.9812024
Hallandale,Hollywood,FL,USA,"Hallandale, Hollywood, FL",-80.148379,25.9812024
Hamilton County,Jasper,FL,USA,"Hamilton County, Jasper, FL",-82.94819,30.5182727
Hardee,Wauchula,FL,USA,"Hardee, Wauchula, FL",-81.836131,27.527859
Harmony,Saint Cloud,FL,USA,"Harmony, Saint Cloud, FL",-81.1450659,28.1894586
Hawthorne,Hawthorne,FL,USA,"Hawthorne, Hawthorne, FL",-82.0873181,29.5919136
Hernando,Brooksville,FL,USA,"Hernando, Brooksville, FL",-82.3878709,28.5552719
Hialeah,Hialeah,FL,USA,"Hialeah, Hialeah, FL",-80.2781057,25.8575963
Hialeah-Miami Lakes,Hialeah,FL,USA,"Hialeah-Miami Lakes, Hialeah, FL",-80.3066324,25.8950887
Hialeah-Miami Lakes,Miami,FL,USA,"Hialeah-Miami Lakes, Miami, FL",-80.3066324,25.8950887
Highlands Christian Academy,Pompano Beach,FL,USA,"Highlands Christian Academy, Pompano Beach, FL",-80.117275,26.292061
Hilliard Middle-senior,Hilliard,FL,USA,"Hilliard Middle-senior, Hilliard, FL",-81.9266102,30.687846
Hillsborough,Tampa,FL,USA,"Hillsborough, Tampa, FL",-82.4571776,27.950575
Hollywood Christian School,Hollywood,FL,USA,"Hollywood Christian School, Hollywood, FL",-80.209576,26.025519
Hollywood Hills,Hollywood,FL,USA,"Hollywood Hills, Hollywood, FL",-80.1895909,26.0104311
Holy Trinity Episcopal Academy,Melbourne,FL,USA,"Holy Trinity Episcopal Academy, Melbourne, FL",-80.6232163,28.0801076
Homestead,Homestead,FL,USA,"Homestead, Homestead, FL",-80.4775569,25.4687224
Homestead,Miami,FL,USA,"Homestead, Miami, FL",-80.4775569,25.4687224
Hudson,Hudson,FL,USA,"Hudson, Hudson, FL",-82.6267713,28.3608705
Ida S. Baker,Cape Coral,FL,USA,"Ida S. Baker, Cape Coral, FL",-82.0167532,26.5875081
IMG Academy,Bradenton,FL,USA,"IMG Academy, Bradenton, FL",-82.6086662,27.4408534
IMG Academy,Hialeah,FL,USA,"IMG Academy, Hialeah, FL",-82.6086662,27.4408534
IMG Academy,Miami,FL,USA,"IMG Academy, Miami, FL",-82.6086662,27.4408534
IMG Academy,Montverde,FL,USA,"IMG Academy, Montverde, FL",-82.6086662,27.4408534
IMG Academy,New Smyrna Beach,FL,USA,"IMG Academy, New Smyrna Beach, FL",-82.6086662,27.4408534
IMG Academy,Orlando,FL,USA,"IMG Academy, Orlando, FL",-82.6086662,27.4408534
IMG Academy,Palm Harbor,FL,USA,"IMG Academy, Palm Harbor, FL",-82.6086662,27.4408534
IMG Academy,Tampa,FL,USA,"IMG Academy, Tampa, FL",-82.6086662,27.4408534
Immokalee,Immokalee,FL,USA,"Immokalee, Immokalee, FL",-81.4174057,26.4185248
Indian Rocks Christian School,Largo,FL,USA,"Indian Rocks Christian School, Largo, FL",-82.814262,27.8832442
Island Coast,Cape Coral,FL,USA,"Island Coast, Cape Coral, FL",-81.9298755,26.7271271
Island Coast,Fort Myers,FL,USA,"Island Coast, Fort Myers, FL",-81.8591533,26.603699
J. M. Tate Senior,Cantonment,FL,USA,"J. M. Tate Senior, Cantonment, FL",-87.2987792,30.5762229
J. P. Taravella,Pompano Beach,FL,USA,"J. P. Taravella, Pompano Beach, FL",-80.2679146,26.2323465
James Rickards,Tallahassee,FL,USA,"James Rickards, Tallahassee, FL",-84.2627775,30.4086307
James W. Mitchell,New Port Richey,FL,USA,"James W. Mitchell, New Port Richey, FL",-82.6682891,28.1928971
Jean Ribault,JACKSONVILLE,FL,USA,"Jean Ribault, JACKSONVILLE, FL",-81.7077094,30.390581
Jefferson,Tampa,FL,USA,"Jefferson, Tampa, FL",-82.5265741,27.8712414
Jefferson County,Monticello,FL,USA,"Jefferson County, Monticello, FL",-83.8701636,30.5452022
Jensen Beach,Jensen Beach,FL,USA,"Jensen Beach, Jensen Beach, FL",-80.2297697,27.2544906
Jesuit,Tampa,FL,USA,"Jesuit, Tampa, FL",-82.4996035,27.9868565
John Carroll,Fort Pierce,FL,USA,"John Carroll, Fort Pierce, FL",-80.3607424,27.4443043
John Carroll,Vero Beach,FL,USA,"John Carroll, Vero Beach, FL",-80.3607424,27.4443043
John I. Leonard,Lake Worth,FL,USA,"John I. Leonard, Lake Worth, FL",-80.1177754,26.631656
Jones,Orlando,FL,USA,"Jones, Orlando, FL",-81.3996906,28.5332274
Jupiter,Jupiter,FL,USA,"Jupiter, Jupiter, FL",-80.0942087,26.9342246
Jupiter Christian School,Jupiter,FL,USA,"Jupiter Christian School, Jupiter, FL",-80.118581,26.92756
Kathleen,Lakeland,FL,USA,"Kathleen, Lakeland, FL",-82.0216508,28.120744
Key West,Key West,FL,USA,"Key West, Key West, FL",-81.7799871,24.5550593
Keys Gate Charter,Homestead,FL,USA,"Keys Gate Charter, Homestead, FL",-80.43521,25.451326
Killian,Miami,FL,USA,"Killian, Miami, FL",-80.3496469,25.670241
King,Tampa,FL,USA,"King, Tampa, FL",-82.4592493,28.0093922
La Salle,Miami,FL,USA,"La Salle, Miami, FL",-80.2130562,25.743072
Labelle,Labelle,FL,USA,"Labelle, Labelle, FL",-81.4384092,26.7617322
Lafayette,Mayo,FL,USA,"Lafayette, Mayo, FL",-83.1748578,30.053001
Lake Brantley,Altamonte Springs,FL,USA,"Lake Brantley, Altamonte Springs, FL",-81.4229276,28.6819345
Lake City Christian Academy,Lake City,FL,USA,"Lake City Christian Academy, Lake City, FL",-82.7454528,30.1612968
Lake Gibson,Lakeland,FL,USA,"Lake Gibson, Lakeland, FL",-81.961664,28.1075308
Lake Highland Prep,Orlando,FL,USA,"Lake Highland Prep, Orlando, FL",-81.3717355,28.5579205
Lake Howell,Winter Park,FL,USA,"Lake Howell, Winter Park, FL",-81.2731342,28.6374281
Lake Mary,Lake Mary,FL,USA,"Lake Mary, Lake Mary, FL",-81.3148414,28.7537214
Lake Mary Prep,Lake Mary,FL,USA,"Lake Mary Prep, Lake Mary, FL",-81.3237123,28.7775423
Lake Minneola,Lake Minneola,FL,USA,"Lake Minneola, Lake Minneola, FL",-81.754059,28.570107
Lake Nona,Orlando,FL,USA,"Lake Nona, Orlando, FL",-81.2585677,28.3765852
Lake Region,Eagle Lake,FL,USA,"Lake Region, Eagle Lake, FL",-81.74679,27.980082
Lake Wales,Lake Wales,FL,USA,"Lake Wales, Lake Wales, FL",-81.5859099,27.9014133
Lake Wales,Sarasota,FL,USA,"Lake Wales, Sarasota, FL",-81.5859099,27.9014133
Lake Weir,Ocala,FL,USA,"Lake Weir, Ocala, FL",-81.9371138,29.0190445
Lake Worth,Lake Worth,FL,USA,"Lake Worth, Lake Worth, FL",-80.0684479,26.6167555
Lake Worth Christian School,Boynton Beach,FL,USA,"Lake Worth Christian School, Boynton Beach, FL",-80.0727833,26.5636698
Lakeland,Lakeland,FL,USA,"Lakeland, Lakeland, FL",-81.9498042,28.0394654
Lakeland Christian School,Lakeland,FL,USA,"Lakeland Christian School, Lakeland, FL",-81.96967,28.024125
Lakewood,Saint Petersburg,FL,USA,"Lakewood, Saint Petersburg, FL",-82.6565824,27.7211639
Lakewood Ranch,Bradenton,FL,USA,"Lakewood Ranch, Bradenton, FL",-82.4285151,27.4117037
Land O' Lakes,Land O Lakes,FL,USA,"Land O' Lakes, Land O Lakes, FL",-82.4575938,28.2188992
Land O' Lakes,Tampa,FL,USA,"Land O' Lakes, Tampa, FL",-82.4575938,28.2188992
Largo,Largo,FL,USA,"Largo, Largo, FL",-82.7873244,27.9094665
Lawton Chiles,Tallahassee,FL,USA,"Lawton Chiles, Tallahassee, FL",-84.2110359,30.5706336
Lecanto,Lecanto,FL,USA,"Lecanto, Lecanto, FL",-82.4875981,28.8516486
Leesburg,Leesburg,FL,USA,"Leesburg, Leesburg, FL",-81.8778582,28.810823
Lehigh Senior,Lehigh Acres,FL,USA,"Lehigh Senior, Lehigh Acres, FL",-81.7206122,26.6227136
Lely,Naples,FL,USA,"Lely, Naples, FL",-81.7284199,26.1006481
Lennard,Ruskin,FL,USA,"Lennard, Ruskin, FL",-82.4041647,27.7230228
Leto,Tampa,FL,USA,"Leto, Tampa, FL",-82.5185865,28.0118271
Liberty,Kissimmee,FL,USA,"Liberty, Kissimmee, FL",-81.4660787,28.2760732
Liberty County,Bristol,FL,USA,"Liberty County, Bristol, FL",-84.9757496,30.4321407
Lincoln,Marianna,FL,USA,"Lincoln, Marianna, FL",-85.244539,30.7818377
Lincoln,Tallahassee,FL,USA,"Lincoln, Tallahassee, FL",-84.2839667,30.4208212
Lyman,Longwood,FL,USA,"Lyman, Longwood, FL",-81.3441526,28.6871804
Madison County,Greenville,FL,USA,"Madison County, Greenville, FL",-83.6301544,30.4693739
Madison County,Madison,FL,USA,"Madison County, Madison, FL",-83.4129254,30.4693772
Mainland,Daytona Beach,FL,USA,"Mainland, Daytona Beach, FL",-81.0281925,29.2111738
Mainland,Ormond Beach,FL,USA,"Mainland, Ormond Beach, FL",-81.068814,29.2480745
Manatee,Bradenton,FL,USA,"Manatee, Bradenton, FL",-82.5748194,27.4989278
Mandarin,Jacksonville,FL,USA,"Mandarin, Jacksonville, FL",-81.6409217,30.1494918
Marathon,Marathon,FL,USA,"Marathon, Marathon, FL",-81.0446262,24.726026
Marianna,Marianna,FL,USA,"Marianna, Marianna, FL",-85.2268735,30.7743596
Mariner,Cape Coral,FL,USA,"Mariner, Cape Coral, FL",-81.986206,26.6765899
Marjory Stoneman Douglas,Pompano Beach,FL,USA,"Marjory Stoneman Douglas, Pompano Beach, FL",-80.269457,26.304503
Martin County,Stuart,FL,USA,"Martin County, Stuart, FL",-80.2528257,27.197548
