"","school","city","stateProvince","country","schoolcitystate","schoolcitystate2","lon","lat"
"208","Muscle Shoals","Muscle Shoals","AL","USA","Muscle Shoals, Muscle Shoals, AL","Muscle Shoals, Muscle Shoals, AL",-87.6675292,34.7448112
"209","New Hope","New Hope","AL","USA","New Hope, New Hope, AL","New Hope, New Hope, AL",-86.3944307,34.5370339
"210","North Jackson","Stevenson","AL","USA","North Jackson, Stevenson, AL","North Jackson, Stevenson, AL",-85.7896674,34.8995012
"211","Northridge","Tuscaloosa","AL","USA","Northridge, Tuscaloosa, AL","Northridge, Tuscaloosa, AL",-87.5281828,33.244564
"212","Northview","Dothan","AL","USA","Northview, Dothan, AL","Northview, Dothan, AL",-85.3790619,31.270213
"213","Northview","Prattville","AL","USA","Northview, Prattville, AL","Northview, Prattville, AL",-86.4711353,32.5004001
"214","Oak Mountain","Birmingham","AL","USA","Oak Mountain, Birmingham, AL","Oak Mountain, Birmingham, AL",-86.7593249,33.3247302
"215","Oneonta","Oneonta","AL","USA","Oneonta, Oneonta, AL","Oneonta, Oneonta, AL",-86.472764,33.9481537
"216","Opelika","Opelika","AL","USA","Opelika, Opelika, AL","Opelika, Opelika, AL",-85.3782795,32.6454116
"217","Opp","Opp","AL","USA","Opp, Opp, AL","Opp, Opp, AL",-86.2555067,31.2826685
"218","Opp Sch","Opp","AL","USA","Opp Sch, Opp, AL","Opp Sch, Opp, AL",-86.2393705,31.2883874
"219","Oxford","Munford","AL","USA","Oxford, Munford, AL","Oxford, Munford, AL",-85.9508005,33.5298282
"220","Oxford","Oxford","AL","USA","Oxford, Oxford, AL","Oxford, Oxford, AL",-85.8349648,33.6142714
"221","Park Crossing","Montgomery","AL","USA","Park Crossing, Montgomery, AL","Park Crossing, Montgomery, AL",-86.15953,32.3052367
"222","Parker","Birmingham","AL","USA","Parker, Birmingham, AL","Parker, Birmingham, AL",-86.8296064,33.5151756
"223","Parrish Sch","Parrish","AL","USA","Parrish Sch, Parrish, AL","Parrish Sch, Parrish, AL",-87.2791489,33.7336457
"224","Patrician Academy","Butler","AL","USA","Patrician Academy, Butler, AL","Patrician Academy, Butler, AL",-88.225576,32.082369
"225","Paul W Bryant","Cottondale","AL","USA","Paul W Bryant, Cottondale, AL","Paul W Bryant, Cottondale, AL",-87.453708,33.1578383
"226","Pelham","Helena","AL","USA","Pelham, Helena, AL","Pelham, Helena, AL",-86.8075776,33.3388936
"227","Pelham","Pelham","AL","USA","Pelham, Pelham, AL","Pelham, Pelham, AL",-86.8099885,33.2856687
"228","Pell City Sch","Pell City","AL","USA","Pell City Sch, Pell City, AL","Pell City Sch, Pell City, AL",-86.2970998,33.6071108
"229","Pickens Academy","Carrollton","AL","USA","Pickens Academy, Carrollton, AL","Pickens Academy, Carrollton, AL",-88.0903248,33.2531882
"230","Pickens County","Reform","AL","USA","Pickens County, Reform, AL","Pickens County, Reform, AL",-88.0153008,33.378451
"231","Piedmont","Piedmont","AL","USA","Piedmont, Piedmont, AL","Piedmont, Piedmont, AL",-85.614627,33.916767
"232","Pike Co Sch","Brundidge","AL","USA","Pike Co Sch, Brundidge, AL","Pike Co Sch, Brundidge, AL",-85.8219498,31.7327766
"233","Pike Liberal Arts School","Troy","AL","USA","Pike Liberal Arts School, Troy, AL","Pike Liberal Arts School, Troy, AL",-85.9426703,31.7823349
"234","Pinson Valley","Pinson","AL","USA","Pinson Valley, Pinson, AL","Pinson Valley, Pinson, AL",-86.7153912,33.6527737
"235","Pleasant Grove","Pleasant Grove","AL","USA","Pleasant Grove, Pleasant Grove, AL","Pleasant Grove, Pleasant Grove, AL",-86.9649101,33.5179126
"236","Prattville","Montgomery","AL","USA","Prattville, Montgomery, AL","Prattville, Montgomery, AL",-86.4596966,32.4640245
"237","Prattville","Prattville","AL","USA","Prattville, Prattville, AL","Prattville, Prattville, AL",-86.4596966,32.4640245
"238","Prattville Christian Academy","Prattville","AL","USA","Prattville Christian Academy, Prattville, AL","Prattville Christian Academy, Prattville, AL",-86.405138,32.479883
"239","Priceville","Decatur","AL","USA","Priceville, Decatur, AL","Priceville, Decatur, AL",-86.8862594,34.5188586
"240","R A Hubbard Sch","Courtland","AL","USA","R A Hubbard Sch, Courtland, AL","R A Hubbard Sch, Courtland, AL",-87.3099656,34.6814602
"241","Ramsay","Birmingham","AL","USA","Ramsay, Birmingham, AL","Ramsay, Birmingham, AL",-86.798457,33.497616
"242","Randolph County","Wedowee","AL","USA","Randolph County, Wedowee, AL","Randolph County, Wedowee, AL",-85.484675,33.3090047
"243","Randolph School","Huntsville","AL","USA","Randolph School, Huntsville, AL","Randolph School, Huntsville, AL",-86.5580531,34.7066529
"244","Reeltown Sch","Notasulga","AL","USA","Reeltown Sch, Notasulga, AL","Reeltown Sch, Notasulga, AL",-85.8025967,32.6029455
"245","Restoration Academy","Fairfield","AL","USA","Restoration Academy, Fairfield, AL","Restoration Academy, Fairfield, AL",-86.9153753,33.489855
"246","Robert E. Lee","Montgomery","AL","USA","Robert E. Lee, Montgomery, AL","Robert E. Lee, Montgomery, AL",-86.2720297,32.3785812
"247","Robertsdale","Robertsdale","AL","USA","Robertsdale, Robertsdale, AL","Robertsdale, Robertsdale, AL",-87.7119324,30.5538048
"248","Russell Co Sch","Seale","AL","USA","Russell Co Sch, Seale, AL","Russell Co Sch, Seale, AL",-85.1506911,32.3338061
"249","Russellville","Russellville","AL","USA","Russellville, Russellville, AL","Russellville, Russellville, AL",-87.7286431,34.5078726
"250","Saint Clair Co Sch","Odenville","AL","USA","Saint Clair Co Sch, Odenville, AL","Saint Clair Co Sch, Odenville, AL",-86.3706995,33.7031067
"251","Saks","Anniston","AL","USA","Saks, Anniston, AL","Saks, Anniston, AL",-85.8436597,33.7219643
"252","Saraland","Saraland","AL","USA","Saraland, Saraland, AL","Saraland, Saraland, AL",-88.0705556,30.820742
"253","Satsuma","Satsuma","AL","USA","Satsuma, Satsuma, AL","Satsuma, Satsuma, AL",-88.0561106,30.853241
"254","Scottsboro Sch","Scottsboro","AL","USA","Scottsboro Sch, Scottsboro, AL","Scottsboro Sch, Scottsboro, AL",-86.0307029,34.6706165
"255","Selma Sch","Selma","AL","USA","Selma Sch, Selma, AL","Selma Sch, Selma, AL",-87.0226785,32.4284032
"256","Shades Valley","Birmingham","AL","USA","Shades Valley, Birmingham, AL","Shades Valley, Birmingham, AL",-86.830395,33.460826
"257","Sheffield","Sheffield","AL","USA","Sheffield, Sheffield, AL","Sheffield, Sheffield, AL",-87.6986407,34.7650887
"258","Shelby County","Columbiana","AL","USA","Shelby County, Columbiana, AL","Shelby County, Columbiana, AL",-86.6072054,33.1781718
"259","Sipsey Valley","Buhl","AL","USA","Sipsey Valley, Buhl, AL","Sipsey Valley, Buhl, AL",-87.7340538,33.1932214
"260","Smiths Station","Smiths Station","AL","USA","Smiths Station, Smiths Station, AL","Smiths Station, Smiths Station, AL",-85.0985473,32.5401393
"261","South Choctaw Academy","Toxey","AL","USA","South Choctaw Academy, Toxey, AL","South Choctaw Academy, Toxey, AL",-88.3178887,31.91226
"262","Southern Choctaw","Gilbertown","AL","USA","Southern Choctaw, Gilbertown, AL","Southern Choctaw, Gilbertown, AL",-88.3193787,31.8429084
"263","Southside","Ashville","AL","USA","Southside, Ashville, AL","Southside, Ashville, AL",-86.0224718,33.9245425
"264","Southside","Gadsden","AL","USA","Southside, Gadsden, AL","Southside, Gadsden, AL",-86.0224718,33.9245425
"265","Southside","Selma","AL","USA","Southside, Selma, AL","Southside, Selma, AL",-86.9290859,32.3271848
"266","Spain Park","Birmingham","AL","USA","Spain Park, Birmingham, AL","Spain Park, Birmingham, AL",-86.7257473,33.3930724
"267","Spanish Fort","Spanish Fort","AL","USA","Spanish Fort, Spanish Fort, AL","Spanish Fort, Spanish Fort, AL",-87.9018829,30.671469
"268","Sparkman","Harvest","AL","USA","Sparkman, Harvest, AL","Sparkman, Harvest, AL",-86.7160853,34.8342964
"269","Springville Sch","Springville","AL","USA","Springville Sch, Springville, AL","Springville Sch, Springville, AL",-86.4682996,33.7790318
"270","Springwood School","Lanett","AL","USA","Springwood School, Lanett, AL","Springwood School, Lanett, AL",-85.2094778,32.8762591
"271","Sr Butler Sch","Huntsville","AL","USA","Sr Butler Sch, Huntsville, AL","Sr Butler Sch, Huntsville, AL",-86.6560606,34.7319822
"272","St James School","Montgomery","AL","USA","St James School, Montgomery, AL","St James School, Montgomery, AL",-86.206625,32.337211
"273","St Jude Educational Institute","Montgomery","AL","USA","St Jude Educational Institute, Montgomery, AL","St Jude Educational Institute, Montgomery, AL",-86.328367,32.3521165
"274","St. Clair County","Odenville","AL","USA","St. Clair County, Odenville, AL","St. Clair County, Odenville, AL",-86.396648,33.6773237
"275","St. Luke's Episcopal","Mobile","AL","USA","St. Luke's Episcopal, Mobile, AL","St. Luke's Episcopal, Mobile, AL",-88.1662405,30.6613631
"276","St. Paul's Episcopal","Mobile","AL","USA","St. Paul's Episcopal, Mobile, AL","St. Paul's Episcopal, Mobile, AL",-88.1345398,30.6966056
"277","Stanhope Elmore","Millbrook","AL","USA","Stanhope Elmore, Millbrook, AL","Stanhope Elmore, Millbrook, AL",-86.3623863,32.4940867
"278","Sulligent Sch","Sulligent","AL","USA","Sulligent Sch, Sulligent, AL","Sulligent Sch, Sulligent, AL",-88.1305721,33.8989197
"279","Sumter Co Sch","York","AL","USA","Sumter Co Sch, York, AL","Sumter Co Sch, York, AL",-88.3124687,32.4838122
"280","Sunshine Sch","Newbern","AL","USA","Sunshine Sch, Newbern, AL","Sunshine Sch, Newbern, AL",-87.5327815,32.5931884
"281","Susan Moore Sch","Blountsville","AL","USA","Susan Moore Sch, Blountsville, AL","Susan Moore Sch, Blountsville, AL",-86.4305252,34.0834987
"282","Sweet Water Sch","Sweet Water","AL","USA","Sweet Water Sch, Sweet Water, AL","Sweet Water Sch, Sweet Water, AL",-87.8659383,32.0969669
"283","Sylacauga Sch","Sylacauga","AL","USA","Sylacauga Sch, Sylacauga, AL","Sylacauga Sch, Sylacauga, AL",-86.2514644,33.1766925
"284","Talladega Sch","Talladega","AL","USA","Talladega Sch, Talladega, AL","Talladega Sch, Talladega, AL",-86.1025491,33.4324178
"285","Tallassee","Tallassee","AL","USA","Tallassee, Tallassee, AL","Tallassee, Tallassee, AL",-85.8932923,32.5359683
"286","Tanner Sch","Tanner","AL","USA","Tanner Sch, Tanner, AL","Tanner Sch, Tanner, AL",-86.9741875,34.7324279
"287","Tarrant","Birmingham","AL","USA","Tarrant, Birmingham, AL","Tarrant, Birmingham, AL",-86.7718017,33.586822
"288","The Donoho School","Anniston","AL","USA","The Donoho School, Anniston, AL","The Donoho School, Anniston, AL",-85.7907693,33.6537162
"289","The Montgomery Academy","Montgomery","AL","USA","The Montgomery Academy, Montgomery, AL","The Montgomery Academy, Montgomery, AL",-86.259948,32.350958
"290","The Peddie School","Alabaster","AL","USA","The Peddie School, Alabaster, AL","The Peddie School, Alabaster, AL",-74.5242289,40.2668445
"291","Theodore","Theodore","AL","USA","Theodore, Theodore, AL","Theodore, Theodore, AL",-88.1752796,30.5476941
"292","Thomasville","Thomasville","AL","USA","Thomasville, Thomasville, AL","Thomasville, Thomasville, AL",-87.7358366,31.9134859
"293","Thompson","Alabaster","AL","USA","Thompson, Alabaster, AL","Thompson, Alabaster, AL",-86.8387757,33.2162484
"294","Tr Miller Sch","Brewton","AL","USA","Tr Miller Sch, Brewton, AL","Tr Miller Sch, Brewton, AL",-87.0698308,31.1381152
"295","Trinity Presbyterian School","Montgomery","AL","USA","Trinity Presbyterian School, Montgomery, AL","Trinity Presbyterian School, Montgomery, AL",-86.233714,32.353775
"296","Tuscaloosa Academy","Tuscaloosa","AL","USA","Tuscaloosa Academy, Tuscaloosa, AL","Tuscaloosa Academy, Tuscaloosa, AL",-87.5401015,33.2452281
"297","Tuscaloosa County","Northport","AL","USA","Tuscaloosa County, Northport, AL","Tuscaloosa County, Northport, AL",-87.5772293,33.229007
"298","UMS-Wright Preparatory School","Mobile","AL","USA","UMS-Wright Preparatory School, Mobile, AL","UMS-Wright Preparatory School, Mobile, AL",-88.1070681,30.6925593
"299","Unknown","Birmingham","AL","USA","Unknown, Birmingham, AL","Unknown, Birmingham, AL",-86.8103567,33.5185892
"300","Valley HS","Valley","AL","USA","Valley HS, Valley, AL","Valley HS, Valley, AL",-85.1815645,32.801895
"301","Vestavia Hills","Birmingham","AL","USA","Vestavia Hills, Birmingham, AL","Vestavia Hills, Birmingham, AL",-86.7877668,33.4487183
"302","Vigor","Mobile","AL","USA","Vigor, Mobile, AL","Vigor, Mobile, AL",-88.0803667,30.7431734
"303","Virgil Grissom Sch","Huntsville","AL","USA","Virgil Grissom Sch, Huntsville, AL","Virgil Grissom Sch, Huntsville, AL",-86.576543,34.6426691
"304","W S Neal Sch","Brewton","AL","USA","W S Neal Sch, Brewton, AL","W S Neal Sch, Brewton, AL",-87.0545557,31.0901095
"305","Wadley","Wadley","AL","USA","Wadley, Wadley, AL","Wadley, Wadley, AL",-85.5697369,33.12275
"306","Walker","Jasper","AL","USA","Walker, Jasper, AL","Walker, Jasper, AL",-87.2775053,33.8312185
"307","Wellborn Sch","Anniston","AL","USA","Wellborn Sch, Anniston, AL","Wellborn Sch, Anniston, AL",-85.8796246,33.6513489
"308","Wenonah Sch","Birmingham","AL","USA","Wenonah Sch, Birmingham, AL","Wenonah Sch, Birmingham, AL",-86.8851437,33.4546439
"309","West End Sch","Birmingham","AL","USA","West End Sch, Birmingham, AL","West End Sch, Birmingham, AL",-86.8676099,33.484049
"310","West Limestone Sch","Lester","AL","USA","West Limestone Sch, Lester, AL","West Limestone Sch, Lester, AL",-87.1237585,34.9390927
"311","West Morgan Sch","Trinity","AL","USA","West Morgan Sch, Trinity, AL","West Morgan Sch, Trinity, AL",-87.078035,34.5851201
"312","Westminster Christian Academy","Huntsville","AL","USA","Westminster Christian Academy, Huntsville, AL","Westminster Christian Academy, Huntsville, AL",-86.676056,34.760354
"313","Westminster School At Oak Mountain","Birmingham","AL","USA","Westminster School At Oak Mountain, Birmingham, AL","Westminster School At Oak Mountain, Birmingham, AL",-86.7064479,33.3754977
"314","Wetumpka","Wetumpka","AL","USA","Wetumpka, Wetumpka, AL","Wetumpka, Wetumpka, AL",-86.2119127,32.5437448
"315","Wilcox Central Sch","Camden","AL","USA","Wilcox Central Sch, Camden, AL","Wilcox Central Sch, Camden, AL",-87.3222351,32.0070419
"316","Williamson","Mobile","AL","USA","Williamson, Mobile, AL","Williamson, Mobile, AL",-88.0741738,30.669743
"317","Winterboro","Alpine","AL","USA","Winterboro, Alpine, AL","Winterboro, Alpine, AL",-86.1969178,33.3215007
"318","Woodlawn","Birmingham","AL","USA","Woodlawn, Birmingham, AL","Woodlawn, Birmingham, AL",-86.7516558,33.54066
"319","WP Davidson","Mobile","AL","USA","WP Davidson, Mobile, AL","WP Davidson, Mobile, AL",-88.1464483,30.6623935
"320","Academics Plus","Maumelle","AR","USA","Academics Plus, Maumelle, AR","Academics Plus, Maumelle, AR",-92.4043809,34.8646379
"321","Alma","Alma","AR","USA","Alma, Alma, AR","Alma, Alma, AR",-94.2218752,35.4778653
"322","Arkadelphia","Arkadelphia","AR","USA","Arkadelphia, Arkadelphia, AR","Arkadelphia, Arkadelphia, AR",-93.0537839,34.1209292
"323","Arkansas","Texarkana","AR","USA","Arkansas, Texarkana, AR","Arkansas, Texarkana, AR",-94.0376881,33.4417915
"324","Arkansas Baptist School System","Little Rock","AR","USA","Arkansas Baptist School System, Little Rock, AR","Arkansas Baptist School System, Little Rock, AR",-92.401332,34.779384
"325","Ashdown","Ashdown","AR","USA","Ashdown, Ashdown, AR","Ashdown, Ashdown, AR",-94.1313054,33.6742867
"326","Barton","Aubrey","AR","USA","Barton, Aubrey, AR","Barton, Aubrey, AR",NA,NA
"327","Batesville","Batesville","AR","USA","Batesville, Batesville, AR","Batesville, Batesville, AR",-91.6409721,35.769799
"328","Bearden","Bearden","AR","USA","Bearden, Bearden, AR","Bearden, Bearden, AR",-92.6157139,33.7245526
"329","Benton","Benton","AR","USA","Benton, Benton, AR","Benton, Benton, AR",-92.586828,34.5645371
"330","Bentonville","Bentonville","AR","USA","Bentonville, Bentonville, AR","Bentonville, Bentonville, AR",-94.2088172,36.3728538
"331","Bentonville West","Centerton","AR","USA","Bentonville West, Centerton, AR","Bentonville West, Centerton, AR",-94.2963597,36.3775561
"332","Blytheville","Blytheville","AR","USA","Blytheville, Blytheville, AR","Blytheville, Blytheville, AR",-89.9189753,35.9272953
"333","Bryant","Bryant","AR","USA","Bryant, Bryant, AR","Bryant, Bryant, AR",-92.4890469,34.5959265
"334","Cabot","Cabot","AR","USA","Cabot, Cabot, AR","Cabot, Cabot, AR",-92.0165336,34.974532
"335","Camden Fairview","Camden","AR","USA","Camden Fairview, Camden, AR","Camden Fairview, Camden, AR",-92.8530052,33.5513511
"336","Catholic For Boys","Little Rock","AR","USA","Catholic For Boys, Little Rock, AR","Catholic For Boys, Little Rock, AR",-92.3443285,34.7568934
"337","Cave City","Cave City","AR","USA","Cave City, Cave City, AR","Cave City, Cave City, AR",-91.5484709,35.9417397
"338","Central Arkansas Christian","Maumelle","AR","USA","Central Arkansas Christian, Maumelle, AR","Central Arkansas Christian, Maumelle, AR",-92.3542964,34.8151577
"339","Charleston","Charleston","AR","USA","Charleston, Charleston, AR","Charleston, Charleston, AR",-94.0272778,35.2975966
"340","Conway","Conway","AR","USA","Conway, Conway, AR","Conway, Conway, AR",-92.4421011,35.0886963
"341","Corning","Corning","AR","USA","Corning, Corning, AR","Corning, Corning, AR",-90.5798336,36.4078388
"342","Crossett","Crossett","AR","USA","Crossett, Crossett, AR","Crossett, Crossett, AR",-91.9612427,33.1281779
"343","Cutter-morning Star Sch.","Hot Springs National Park","AR","USA","Cutter-morning Star Sch., Hot Springs National Park, AR","Cutter-morning Star Sch., Hot Springs National Park, AR",-92.9895781,34.5035993
"344","Dardanelle","Dardanelle","AR","USA","Dardanelle, Dardanelle, AR","Dardanelle, Dardanelle, AR",-93.1579532,35.2231408
"345","Dequeen","De Queen","AR","USA","Dequeen, De Queen, AR","Dequeen, De Queen, AR",-94.3413168,34.0378916
"346","Des Arc","Des Arc","AR","USA","Des Arc, Des Arc, AR","Des Arc, Des Arc, AR",-91.4951307,34.9770353
"347","Dewitt","De Witt","AR","USA","Dewitt, De Witt, AR","Dewitt, De Witt, AR",-91.3378987,34.2928774
"348","Dollarway","White Hall","AR","USA","Dollarway, White Hall, AR","Dollarway, White Hall, AR",-92.08966,34.271969
"349","Dumas","Dumas","AR","USA","Dumas, Dumas, AR","Dumas, Dumas, AR",-91.4917899,33.8870476
"350","Earle","Earle","AR","USA","Earle, Earle, AR","Earle, Earle, AR",-90.4667694,35.2750871
"351","East Poinsett Co.","Lepanto","AR","USA","East Poinsett Co., Lepanto, AR","East Poinsett Co., Lepanto, AR",-90.3298218,35.6111908
"352","El Dorado","El Dorado","AR","USA","El Dorado, El Dorado, AR","El Dorado, El Dorado, AR",-92.6662674,33.20763
"353","England","England","AR","USA","England, England, AR","England, England, AR",-91.9690284,34.5442609
"354","Fayetteville","Fayetteville","AR","USA","Fayetteville, Fayetteville, AR","Fayetteville, Fayetteville, AR",-94.1718542,36.082156
"355","Fayettville Christian School","Fayetteville","AR","USA","Fayettville Christian School, Fayetteville, AR","Fayettville Christian School, Fayetteville, AR",-94.1306662,36.0887467
"356","Fordyce","Fordyce","AR","USA","Fordyce, Fordyce, AR","Fordyce, Fordyce, AR",-92.4129303,33.8137161
"357","Forrest City","Forrest City","AR","USA","Forrest City, Forrest City, AR","Forrest City, Forrest City, AR",-90.7898342,35.0081474
"358","Fountain Lake","Hot Springs National Park","AR","USA","Fountain Lake, Hot Springs National Park, AR","Fountain Lake, Hot Springs National Park, AR",-93.000534,34.5603713
"359","Greenbrier","Greenbrier","AR","USA","Greenbrier, Greenbrier, AR","Greenbrier, Greenbrier, AR",-92.387655,35.2339712
"360","Greenwood","Greenwood","AR","USA","Greenwood, Greenwood, AR","Greenwood, Greenwood, AR",-94.2557663,35.2156489
"361","Hamburg","Hamburg","AR","USA","Hamburg, Hamburg, AR","Hamburg, Hamburg, AR",-91.7976285,33.2281757
"362","Har-Ber","Springdale","AR","USA","Har-Ber, Springdale, AR","Har-Ber, Springdale, AR",-94.2130412,36.1842731
"363","Harmony Grove","Camden","AR","USA","Harmony Grove, Camden, AR","Harmony Grove, Camden, AR",-92.7809952,33.6520556
"364","Harrisburg","Harrisburg","AR","USA","Harrisburg, Harrisburg, AR","Harrisburg, Harrisburg, AR",-90.7167786,35.5642471
"365","Harrison","Harrison","AR","USA","Harrison, Harrison, AR","Harrison, Harrison, AR",-93.1076765,36.2297936
"366","Hazen","Hazen","AR","USA","Hazen, Hazen, AR","Hazen, Hazen, AR",-91.5809651,34.7809263
"367","Heber Springs","Heber Springs","AR","USA","Heber Springs, Heber Springs, AR","Heber Springs, Heber Springs, AR",-92.03126,35.4914677
"368","Helena-West Helena Central","West Helena","AR","USA","Helena-West Helena Central, West Helena, AR","Helena-West Helena Central, West Helena, AR",-90.6413226,34.550177
"369","Hermitage","Hermitage","AR","USA","Hermitage, Hermitage, AR","Hermitage, Hermitage, AR",-92.1740294,33.4465028
"370","Highland","Hardy","AR","USA","Highland, Hardy, AR","Highland, Hardy, AR",-91.5240287,36.2759002
"371","Hope","Hope","AR","USA","Hope, Hope, AR","Hope, Hope, AR",-93.5915665,33.6670615
"372","Hot Springs","Hot Springs National Park","AR","USA","Hot Springs, Hot Springs National Park, AR","Hot Springs, Hot Springs National Park, AR",-93.0534596,34.513717
"373","Hoxie","Hoxie","AR","USA","Hoxie, Hoxie, AR","Hoxie, Hoxie, AR",-90.9751205,36.0503484
"374","Jacksonville","Jacksonville","AR","USA","Jacksonville, Jacksonville, AR","Jacksonville, Jacksonville, AR",-92.1101458,34.8662005
"375","Jessieville","Springdale","AR","USA","Jessieville, Springdale, AR","Jessieville, Springdale, AR",-93.0626303,34.7005516
"376","Joe T. Robinson","Little Rock","AR","USA","Joe T. Robinson, Little Rock, AR","Joe T. Robinson, Little Rock, AR",-92.5058798,34.8137791
"377","Jonesboro","Jonesboro","AR","USA","Jonesboro, Jonesboro, AR","Jonesboro, Jonesboro, AR",-90.704279,35.8422967
"378","Junction City","Junction City","AR","USA","Junction City, Junction City, AR","Junction City, Junction City, AR",-92.7251576,33.0137501
"379","Lafayette County","Lewisville","AR","USA","Lafayette County, Lewisville, AR","Lafayette County, Lewisville, AR",-93.5776771,33.3584583
"380","Lake Hamilton","Pearcy","AR","USA","Lake Hamilton, Pearcy, AR","Lake Hamilton, Pearcy, AR",-93.2123587,34.4409766
"381","Lakeside","Hot Springs National Park","AR","USA","Lakeside, Hot Springs National Park, AR","Lakeside, Hot Springs National Park, AR",-93.0605859,34.5384347
"382","Lakeside","Lake Village","AR","USA","Lakeside, Lake Village, AR","Lakeside, Lake Village, AR",-91.3105514,33.3251612
"383","Lee Academy Inc","Marianna","AR","USA","Lee Academy Inc, Marianna, AR","Lee Academy Inc, Marianna, AR",-90.7938571,34.7889501
"384","Little Rock Central","Little Rock","AR","USA","Little Rock Central, Little Rock, AR","Little Rock Central, Little Rock, AR",-92.2986873,34.7367998
"385","Little Rock Christian Academy","Little Rock","AR","USA","Little Rock Christian Academy, Little Rock, AR","Little Rock Christian Academy, Little Rock, AR",-92.481855,34.812143
"386","Lonoke","Lonoke","AR","USA","Lonoke, Lonoke, AR","Lonoke, Lonoke, AR",-91.8998611,34.7839795
"387","Magnolia","Magnolia","AR","USA","Magnolia, Magnolia, AR","Magnolia, Magnolia, AR",-93.239334,33.2670725
"388","Malvern","Malvern","AR","USA","Malvern, Malvern, AR","Malvern, Malvern, AR",-92.8129462,34.3623149
"389","Marion","Marion","AR","USA","Marion, Marion, AR","Marion, Marion, AR",-90.1964835,35.2145336
"390","Mayflower","Mayflower","AR","USA","Mayflower, Mayflower, AR","Mayflower, Mayflower, AR",-92.4273785,34.9570324
"391","Mcclellan Magnet","Little Rock","AR","USA","Mcclellan Magnet, Little Rock, AR","Mcclellan Magnet, Little Rock, AR",-92.3432742,34.6647802
"392","Mccrory","Mccrory","AR","USA","Mccrory, Mccrory, AR","Mccrory, Mccrory, AR",-91.2001246,35.2561978
"393","Mcgehee","Mcgehee","AR","USA","Mcgehee, Mcgehee, AR","Mcgehee, Mcgehee, AR",-91.3945566,33.6255234
"394","Monticello","Monticello","AR","USA","Monticello, Monticello, AR","Monticello, Monticello, AR",-91.7909639,33.6289974
"395","Morrilton Sr.","Morrilton","AR","USA","Morrilton Sr., Morrilton, AR","Morrilton Sr., Morrilton, AR",-92.7340961,35.1640454
"396","Mtn Home Career Academics","Mountain Home","AR","USA","Mtn Home Career Academics, Mountain Home, AR","Mtn Home Career Academics, Mountain Home, AR",-92.3969759,36.3315465
"397","Nashville","Nashville","AR","USA","Nashville, Nashville, AR","Nashville, Nashville, AR",-93.847129,33.9456692
"398","Nettleton","Jonesboro","AR","USA","Nettleton, Jonesboro, AR","Nettleton, Jonesboro, AR",-90.6501325,35.8190881
"399","Newport","Newport","AR","USA","Newport, Newport, AR","Newport, Newport, AR",-91.2817951,35.6048018
"400","North Little Rock","Little Rock","AR","USA","North Little Rock, Little Rock, AR","North Little Rock, Little Rock, AR",-92.2433487,34.6429822
"401","North Little Rock","North Little Rock","AR","USA","North Little Rock, North Little Rock, AR","North Little Rock, North Little Rock, AR",-92.2670941,34.769536
"402","Northside","Fort Smith","AR","USA","Northside, Fort Smith, AR","Northside, Fort Smith, AR",-94.4069569,35.3792359
"403","Oak Grove","North Little Rock","AR","USA","Oak Grove, North Little Rock, AR","Oak Grove, North Little Rock, AR",-92.3326179,34.8411977
"404","Osceola","Osceola","AR","USA","Osceola, Osceola, AR","Osceola, Osceola, AR",-89.969532,35.7050778
"405","Ozark","Ozark","AR","USA","Ozark, Ozark, AR","Ozark, Ozark, AR",-93.8276965,35.4870295
"406","Paragould","Paragould","AR","USA","Paragould, Paragould, AR","Paragould, Paragould, AR",-90.4973286,36.0584021
"407","Paris","Paris","AR","USA","Paris, Paris, AR","Paris, Paris, AR",-93.7299173,35.2920325
"408","Parkers Chapel","El Dorado","AR","USA","Parkers Chapel, El Dorado, AR","Parkers Chapel, El Dorado, AR",-92.7218254,33.171521
"409","Parkview Magnet","Little Rock","AR","USA","Parkview Magnet, Little Rock, AR","Parkview Magnet, Little Rock, AR",-92.3702359,34.7314138
"410","Pine Bluff","Pine Bluff","AR","USA","Pine Bluff, Pine Bluff, AR","Pine Bluff, Pine Bluff, AR",-92.0031955,34.2284312
"411","Pocahontas","Pocahontas","AR","USA","Pocahontas, Pocahontas, AR","Pocahontas, Pocahontas, AR",-90.971233,36.2614554
"412","Pottsville","Pottsville","AR","USA","Pottsville, Pottsville, AR","Pottsville, Pottsville, AR",-93.049061,35.2481394
"413","Prairie Grove","Prairie Grove","AR","USA","Prairie Grove, Prairie Grove, AR","Prairie Grove, Prairie Grove, AR",-94.3177103,35.9759145
"414","Prescott","Prescott","AR","USA","Prescott, Prescott, AR","Prescott, Prescott, AR",-93.3810057,33.8026107
"415","Pulaski Academy","Little Rock","AR","USA","Pulaski Academy, Little Rock, AR","Pulaski Academy, Little Rock, AR",-92.4122376,34.7718897
"416","Quitman","Quitman","AR","USA","Quitman, Quitman, AR","Quitman, Quitman, AR",-92.2157074,35.3842471
"417","Rison","Rison","AR","USA","Rison, Rison, AR","Rison, Rison, AR",-92.1901454,33.9584347
"418","Rivercrest","Wilson","AR","USA","Rivercrest, Wilson, AR","Rivercrest, Wilson, AR",-90.0771032,35.5959177
"419","Rogers","Rogers","AR","USA","Rogers, Rogers, AR","Rogers, Rogers, AR",-94.1185366,36.3320196
